Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,$ (won),2,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,$$ (won),8,5
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,$$$ (won),11,6
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,$ (won),2,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,$$ (won),6,4
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,$$$ (won),13,5
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,$ (won),2,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,$$ (won),3,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,$$$ (won),10,3
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,Eco (won),3,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,$ (won),0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,$$ (won),4,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,$$$ (won),11,9
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,$ (won),2,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,$$ (won),4,3
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,$$$ (won),13,7
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,$$ (won),2,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,$$$ (won),14,8
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,Pistol Won,,4
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,Eco (won),8,4
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,$ (won),6,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,$$ (won),15,9
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,$$$ (won),34,16
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,EDward Gaming,Pistol Won,,2
