Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,viper,80%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,omen,80%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,raze,70%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,skye,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,jett,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,cypher,30%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,killjoy,30%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,kayo,20%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,sova,20%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,gekko,20%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,breach,20%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,phoenix,10%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,fade,10%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,harbor,10%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,sage,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,reyna,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,astra,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,neon,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,iso,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,deadlock,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,clove,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,chamber,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,brimstone,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,yoru,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,viper,100%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,omen,100%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,raze,100%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,skye,100%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,jett,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,cypher,25%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,killjoy,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,kayo,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,sova,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,gekko,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,breach,25%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,phoenix,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,fade,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,harbor,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,sage,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,reyna,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,astra,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,neon,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,iso,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,deadlock,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,clove,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,chamber,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,brimstone,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,yoru,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,viper,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,omen,100%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,raze,100%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,skye,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,jett,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,cypher,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,killjoy,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,kayo,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,sova,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,gekko,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,breach,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,phoenix,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,fade,50%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,harbor,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,sage,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,reyna,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,astra,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,neon,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,iso,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,deadlock,0%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,clove,0%
