Tournament,Stage,Match Type,Match Name,Team,Action,Map
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,FunPlus Phoenix,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Karmine Corp,ban,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,FunPlus Phoenix,pick,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Karmine Corp,pick,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,FunPlus Phoenix,ban,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Karmine Corp,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,LOUD,ban,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Gen.G,ban,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,LOUD,pick,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Gen.G,pick,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,LOUD,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Gen.G,ban,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Paper Rex,ban,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,EDward Gaming,ban,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Paper Rex,pick,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,EDward Gaming,pick,Bind
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Paper Rex,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,EDward Gaming,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sentinels,ban,Breeze
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Team Heretics,ban,Ascent
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sentinels,pick,Lotus
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Team Heretics,pick,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sentinels,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Team Heretics,ban,Split
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Sentinels,ban,Icebox
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Karmine Corp,ban,Sunset
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Sentinels,pick,Split
