Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,MAGNUM,killjoy,6,3,1,,,,,,,65,1,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,sh1n,"omen, sage",4,4,1,,,,,,,50,4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,marteen,"jett, raze",4,3,,,,,,,,47,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,tomaszy,viper,5,,,,3,,,,,47,2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,N4RRATE,"fade, gekko",9,3,3,,1,1,,,,88,9,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Autumn,"jett, raze",6,1,1,,,,,,,50,0,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Life,"chamber, reyna",8,1,,1,2,,,,,68,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,BerLIN,omen,4,1,,,1,,,,,38,4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,AAAAY,gekko,7,1,,,1,,,,,54,15,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Lysoar,viper,4,1,,,,,,,,47,0,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,MAGNUM,killjoy,3,1,1,,,,,,,62,1,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,sh1n,sage,3,1,,,,,,,,39,2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,marteen,jett,4,2,,,,,,,,53,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,tomaszy,viper,2,,,,1,,,,,40,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,N4RRATE,gekko,1,2,2,,1,1,,,,92,4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,FunPlus Phoenix,Autumn,jett,2,1,,,,,,,,45,0,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,FunPlus Phoenix,Life,reyna,3,1,,1,1,,,,,80,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,FunPlus Phoenix,BerLIN,omen,1,1,,,1,,,,,40,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,FunPlus Phoenix,AAAAY,gekko,4,,,,,,,,,53,7,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,FunPlus Phoenix,Lysoar,viper,3,,,,,,,,,43,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,MAGNUM,killjoy,3,2,,,,,,,,68,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,sh1n,omen,1,3,1,,,,,,,61,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,marteen,raze,,1,,,,,,,,40,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,tomaszy,viper,3,,,,2,,,,,54,2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,N4RRATE,fade,8,1,1,,,,,,,83,5,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,Autumn,raze,4,,1,,,,,,,55,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,Life,chamber,5,,,,1,,,,,56,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,BerLIN,omen,3,,,,,,,,,36,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,AAAAY,gekko,3,1,,,1,,,,,54,8,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,Lysoar,viper,1,1,,,,,,,,51,0,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,Lakia,"gekko, sova",3,,,,,,,,,27,16,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,Munchkin,"kayo, viper",9,1,2,,,1,,,,48,3,2
