Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,All Maps,5,51%,49%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,2,58%,42%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,1,41%,59%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,1,42%,58%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,1,58%,42%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,All Maps,3,46%,54%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,1,45%,55%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,1,44%,56%
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,1,50%,50%
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,All Maps,5,46%,54%
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Ascent,1,38%,62%
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Bind,1,50%,50%
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Breeze,1,48%,52%
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Icebox,1,58%,42%
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Split,1,39%,61%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,All Maps,2,49%,51%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Ascent,1,46%,54%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Sunset,1,52%,48%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,All Maps,4,53%,47%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Lotus,1,50%,50%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Ascent,1,68%,32%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Split,1,50%,50%
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sunset,1,44%,56%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,All Maps,11,56%,44%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Bind,2,43%,57%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Icebox,2,49%,51%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Lotus,2,76%,24%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sunset,2,59%,41%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Ascent,1,61%,39%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Breeze,1,67%,33%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Split,1,41%,59%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,All Maps,10,48%,52%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Split,3,37%,63%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Lotus,2,51%,49%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Breeze,2,58%,42%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sunset,2,46%,54%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Icebox,1,57%,43%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,All Maps,5,54%,46%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Ascent,1,42%,58%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Bind,1,61%,39%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Icebox,1,80%,20%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Lotus,1,47%,53%
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Sunset,1,44%,56%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,All Maps,45,51%,49%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,9,45%,55%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,8,55%,45%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,8,52%,48%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,6,54%,46%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Ascent,5,50%,50%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Breeze,5,55%,45%
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,4,49%,51%
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,All Maps,4,61%,39%
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,Ascent,1,53%,47%
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,Bind,1,58%,42%
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,Lotus,1,67%,33%
Champions Tour 2024: Pacific Kickoff,Playoffs,Semifinals,Split,1,67%,33%
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,All Maps,4,55%,45%
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Ascent,1,61%,39%
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Bind,1,47%,53%
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Lotus,1,63%,38%
Champions Tour 2024: Pacific Kickoff,Playoffs,Grand Final,Split,1,47%,53%
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,All Maps,7,56%,44%
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Icebox,3,51%,49%
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Ascent,2,53%,47%
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Breeze,1,50%,50%
Champions Tour 2024: Pacific Kickoff,Play-Ins,Play-ins,Lotus,1,77%,23%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),All Maps,4,43%,57%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),Breeze,2,38%,62%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),Ascent,1,44%,56%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),Lotus,1,52%,48%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),All Maps,2,61%,39%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),Split,1,61%,39%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),Ascent,1,62%,38%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),All Maps,2,55%,45%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),Lotus,1,65%,35%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),Breeze,1,46%,54%
