Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Sentinels,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Sentinels,omen,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Sentinels,raze,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Sentinels,skye,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Sentinels,cypher,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,LOUD,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,LOUD,omen,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,LOUD,raze,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,LOUD,skye,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,LOUD,breach,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Gen.G,skye,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Paper Rex,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Paper Rex,omen,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Paper Rex,raze,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Paper Rex,skye,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Split,Paper Rex,jett,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,Sentinels,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,Sentinels,jett,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,Sentinels,killjoy,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,Sentinels,kayo,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,Sentinels,gekko,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,LOUD,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,LOUD,jett,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,LOUD,killjoy,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,LOUD,sova,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Icebox,LOUD,harbor,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,Sentinels,omen,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,Sentinels,raze,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,Sentinels,cypher,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,Sentinels,kayo,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,Sentinels,gekko,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,LOUD,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,LOUD,omen,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,LOUD,sova,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,LOUD,breach,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sunset,LOUD,phoenix,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Gen.G,killjoy,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Gen.G,fade,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Paper Rex,omen,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Paper Rex,raze,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Paper Rex,skye,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Paper Rex,jett,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Lotus,Paper Rex,cypher,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Gen.G,raze,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Gen.G,omen,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Gen.G,skye,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Sentinels,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Sentinels,raze,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Sentinels,omen,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Sentinels,skye,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Split,Sentinels,cypher,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Gen.G,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Gen.G,raze,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Gen.G,omen,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Gen.G,fade,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Gen.G,killjoy,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Sentinels,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Sentinels,raze,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Sentinels,omen,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Sentinels,fade,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Lotus,Sentinels,killjoy,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Gen.G,viper,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Gen.G,jett,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Gen.G,sova,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Gen.G,astra,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Gen.G,yoru,1,0,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Sentinels,viper,0,1,1
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Breeze,Sentinels,jett,0,1,1
