Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,7,1,3,2,7,0,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,FunPlus Phoenix,7,0,1,0,7,1,3,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,9,1,3,0,6,2,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,6,2,2,0,9,1,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,10,1,2,0,8,0,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,LOUD,8,0,3,0,10,1,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,5,2,1,0,9,1,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,LOUD,9,1,3,0,5,2,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,12,0,1,0,4,0,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,LOUD,4,0,1,0,12,0,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,4,2,2,0,11,2,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,Paper Rex,11,2,0,0,4,2,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,8,1,3,1,7,0,1,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,Paper Rex,7,0,1,1,8,1,3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,8,1,4,0,6,2,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,Paper Rex,6,2,1,0,8,1,4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,12,0,1,0,6,2,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Team Heretics,6,2,1,0,12,0,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,4,0,1,0,5,1,7,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Team Heretics,5,1,7,0,4,0,1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,8,1,4,0,4,3,4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Team Heretics,4,3,4,0,8,1,4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,4,4,4,1,5,1,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Karmine Corp,5,1,2,0,4,4,4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,7,2,4,0,6,2,2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Karmine Corp,6,2,2,1,7,2,4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,11,0,2,0,6,1,0,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,Gen.G,6,1,0,1,11,0,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,2,0,3,0,10,1,2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,Gen.G,10,1,2,0,2,0,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,4,2,0,0,12,1,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,Gen.G,12,1,0,0,4,2,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,Sunset,FunPlus Phoenix,5,0,0,0,8,2,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,Sunset,LOUD,8,2,3,0,5,0,0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,Breeze,FunPlus Phoenix,6,1,3,1,4,3,5,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,Breeze,LOUD,4,3,5,1,6,1,3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Sunset,Team Heretics,2,2,6,0,9,1,3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Sunset,Paper Rex,9,1,3,0,2,2,6,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Lotus,Team Heretics,7,2,4,0,7,2,1,0
